location,forecast_date,quantile,value,target,target_end_date,type
02,2021-04-26,0.01,0,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.025,0,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.05,0,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.1,0,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.15,0,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.2,0.6909417162505599,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.25,1.4176431106671412,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.3,2.4364763078975167,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.35,2.960353042307294,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.4,3.5240361170871504,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.45,4.17026584922818,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.5,4.888787986322121,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.55,5.549552330546755,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.6,6.494715368205557,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.65,7.253030053324238,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.7,8.297508228112761,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.75,9.717373558721114,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.8,11.239813124790807,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.85,14.656060187799211,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.9,18.229293085655886,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.95,24.94202348044124,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.975,31.649043553205725,1 wk ahead inc death,2021-05-01,quantile
02,2021-04-26,0.99,40.50371039450066,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.01,15.177171786443532,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.025,25.218299237581736,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.05,30.901716412015013,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.1,36.26737657864924,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.15,39.69357077939408,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.2,42.639981523225735,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.25,43.856329943310435,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.3,45.19223972754561,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.35,46.82725364984776,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.4,48.436728951784495,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.45,49.64523535702876,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.5,50.209598892356695,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.55,51.06393120282006,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.6,52.68582515693143,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.65,53.91762714197109,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.7,55.43914832191457,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.75,57.8570835960162,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.8,59.81376476024518,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.85,62.875529828716914,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.9,66.73856779788612,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.95,72.04998699613742,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.975,78.16134556396443,1 wk ahead inc death,2021-05-01,quantile
01,2021-04-26,0.99,86.78945013459793,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.01,0.8172580256759736,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.025,4.796292379563689,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.05,7.2821448008817855,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.1,10.897742003481204,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.15,12.48344857867076,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.2,14.15178087737627,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.25,15.098284046584487,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.3,16.032763094279225,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.35,17.25393106342658,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.4,17.880914391496155,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.45,18.48116980057296,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.5,18.997614710622152,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.55,19.63710048052318,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.6,20.6801382598762,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.65,21.764666132813193,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.7,23.412396448776814,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.75,25.103822356574526,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.8,26.90362228123397,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.85,30.355522902490243,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.9,34.478156617615966,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.95,41.86880749251944,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.975,48.46946688545441,1 wk ahead inc death,2021-05-01,quantile
05,2021-04-26,0.99,57.957115922655035,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.01,34.27690485754026,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.025,46.09268273765966,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.05,56.84355951187766,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.1,65.05911647002915,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.15,69.85893772918753,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.2,72.03913203123068,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.25,75.29565023666723,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.3,77.54736663640341,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.35,79.31179929019117,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.4,81.74486542048865,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.45,82.95952855092013,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.5,85.14463191941803,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.55,86.36064794566786,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.6,88.03212831258318,1 wk ahead inc death,2021-05-01,quantile
04,2021-04-26,0.65,89.3210882877149,1 wk ahead inc death,2021-05-01,quantile
