location,forecast_date,quantile,value,target,target_end_date,type
02,2021-07-26,0.01,2.123001750453006,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.025,2.123001750453008,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.05,2.123001750453008,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.1,2.393158337953927,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.15,2.9256084013711248,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.2,3.1720219810443773,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.25,3.4811750701771778,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.3,3.500000000000001,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.35,3.5000000000000013,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.4,3.8844048183285493,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.45,4.149126989603314,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.5,4.543298226090272,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.55,5.096540580864472,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.6,5.299359220680713,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.65,5.682057575964638,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.7,6.090911558920082,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.75,6.747716804817331,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.8,7.229312155331483,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.85,7.2659101621648094,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.9,8.139837357644272,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.95,9.533568507704324,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.975,9.929309050136803,1 wk ahead inc death,2021-07-31,quantile
02,2021-07-26,0.99,13.006414240212393,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.01,19.66495093186178,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.025,23.530327933984193,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.05,29.644119931088934,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.1,34.04418255926821,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.15,34.83032804716257,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.2,37.17281752695512,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.25,39.73138345014721,1 wk ahead inc death,2021-07-31,quantile
01,2021-07-26,0.3,41.83859207312938,1 wk ahead inc death,2021-07-31,quantile
